symbol,R_12,R_6,Z_12,Z_6,score,rebal_date,weight
LUV,0.8167177,0.4756484,3.4985995,2.2774084,2.8880038,2015-01-30,0.05
EW,0.661163,0.45025957,2.7210295,2.136125,2.4285774,2015-01-30,0.05
EA,0.7175845,0.29141116,3.0030634,1.2521684,2.127616,2015-01-30,0.05
VRTX,0.4693305,0.49717063,1.7621185,2.3971748,2.0796466,2015-01-30,0.05
MNST,0.46924713,0.4457681,1.7617018,2.111131,1.9364164,2015-01-30,0.05
AGN-201503,0.6503875,0.2391865,2.6671665,0.96154964,1.814358,2015-01-30,0.05
BBWI,0.3761782,0.42653072,1.2964791,2.0040793,1.6502793,2015-01-30,0.05
KR,0.49957526,0.30286682,1.9133028,1.3159167,1.6146097,2015-01-30,0.05
DAL,0.5907477,0.21367961,2.3690455,0.8196094,1.5943274,2015-01-30,0.05
COV-201501,0.42704037,0.34687436,1.5507233,1.560809,1.5557661,2015-01-30,0.05
KMX,0.34783107,0.4071936,1.1547806,1.8964725,1.5256265,2015-01-30,0.05
LOW,0.3450303,0.3885676,1.1407804,1.7928228,1.4668016,2015-01-30,0.05
SIAL-201511,0.38725218,0.3354912,1.3518345,1.4974643,1.4246495,2015-01-30,0.05
CFN-201503,0.3989142,0.32371262,1.4101292,1.431919,1.4210241,2015-01-30,0.05
TEG-201506,0.40167093,0.314105,1.4239093,1.3784547,1.4011819,2015-01-30,0.05
BRCM-201601,0.3932734,0.31311214,1.3819327,1.3729297,1.3774312,2015-01-30,0.05
MAR,0.47025362,0.24166197,1.7667329,0.97532505,1.371029,2015-01-30,0.05
SPLS-201709,0.16889888,0.50384,0.26035395,2.4342887,1.3473214,2015-01-30,0.05
REGN,0.39912337,0.29004928,1.4111749,1.2445899,1.3278824,2015-01-30,0.05
ISRG,0.3200242,0.35807493,1.0157826,1.6231378,1.3194602,2015-01-30,0.05
LUV,0.88211244,0.5233901,3.3934586,2.3995175,2.8964882,2015-02-27,0.05
EA,0.8719023,0.4248832,3.3499663,1.9392633,2.6446147,2015-02-27,0.05
MNST,0.5456269,0.49864423,1.960131,2.2838972,2.122014,2015-02-27,0.05
EW,0.64509815,0.3786249,2.383849,1.7231307,2.0534897,2015-02-27,0.05
AGN-201503,0.6812803,0.25962415,2.5379739,1.1671234,1.8525486,2015-02-27,0.05
KR,0.5722473,0.3407509,2.0735261,1.546172,1.809849,2015-02-27,0.05
REGN,0.4146272,0.38869822,1.4021118,1.7701963,1.586154,2015-02-27,0.05
KDP,0.48838207,0.28924376,1.7162853,1.305515,1.5109003,2015-02-27,0.05
WELL,0.47541112,0.29187673,1.661033,1.3178171,1.4894251,2015-02-27,0.05
DAL,0.5517791,0.20498163,1.9863377,0.9118171,1.4490774,2015-02-27,0.05
BBWI,0.35374463,0.37632993,1.1427703,1.712408,1.4275892,2015-02-27,0.05
SIAL-201511,0.3890718,0.30781016,1.2932534,1.3922629,1.3427582,2015-02-27,0.05
GGP-201808,0.43395144,0.26686278,1.4844272,1.2009444,1.3426858,2015-02-27,0.05
LOW,0.33327106,0.35766396,1.055559,1.6251949,1.340377,2015-02-27,0.05
ANDV-201809,0.35233498,0.33999738,1.1367656,1.5426513,1.3397084,2015-02-27,0.05
CFN-201503,0.39823988,0.2904966,1.3323067,1.3113687,1.3218377,2015-02-27,0.05
MAC,0.4174705,0.2724265,1.4142234,1.2269397,1.3205816,2015-02-27,0.05
AIV,0.46274942,0.22623044,1.607098,1.0110979,1.309098,2015-02-27,0.05
SHW,0.4013558,0.2757626,1.3455796,1.242527,1.2940533,2015-02-27,0.05
CELG-201911,0.34389338,0.3275163,1.100807,1.4843359,1.2925714,2015-02-27,0.05
MNST,0.7315744,0.7913527,2.6756387,3.6359737,3.155806,2015-03-31,0.05
EA,0.77284014,0.5316782,2.8722768,2.2942514,2.583264,2015-03-31,0.05
LUV,0.73206747,0.42798495,2.6779883,1.7584748,2.2182317,2015-03-31,0.05
HSP-201509,0.6876788,0.45625347,2.466469,1.9045365,2.1855028,2015-03-31,0.05
BBWI,0.62954915,0.49739766,2.1894717,2.117126,2.1532989,2015-03-31,0.05
EW,0.71426785,0.38791603,2.5931702,1.5514412,2.0723057,2015-03-31,0.05
KR,0.6955577,0.38243976,2.5040133,1.5231457,2.0135794,2015-03-31,0.05
AGN-201503,0.7099627,0.3395592,2.5726554,1.3015844,1.93712,2015-03-31,0.05
ANDV-201809,0.6007408,0.4135877,2.052195,1.684085,1.86814,2015-03-31,0.05
ROST,0.45401162,0.50138223,1.3530067,2.1377141,1.7453604,2015-03-31,0.05
LOW,0.48689276,0.44507176,1.5096906,1.8467613,1.678226,2015-03-31,0.05
AAPL,0.6104866,0.3086723,2.0986357,1.1419938,1.6203147,2015-03-31,0.05
WHR,0.48586452,0.40873063,1.5047909,1.658989,1.5818899,2015-03-31,0.05
HUM,0.53301626,0.3385338,1.7294767,1.2962862,1.5128815,2015-03-31,0.05
MO,0.51564556,0.34901386,1.6467025,1.3504361,1.4985693,2015-03-31,0.05
ELV,0.54831296,0.29502153,1.8023679,1.0714611,1.4369144,2015-03-31,0.05
DLTR,0.45564926,0.3803685,1.3608103,1.5124435,1.4366269,2015-03-31,0.05
KDP,0.5252542,0.30565608,1.6924891,1.126409,1.4094491,2015-03-31,0.05
SEE,0.431151,0.3902963,1.244072,1.5637399,1.4039059,2015-03-31,0.05
FTRCQ-202104,0.6015787,0.22771122,2.0561879,0.72367275,1.3899302,2015-03-31,0.05
HSP-201509,0.70782614,0.4913592,2.6660202,2.214396,2.440208,2015-04-30,0.05
EA,0.7213399,0.44103017,2.7260444,1.9701192,2.3480818,2015-04-30,0.05
MNST,0.6260467,0.44812673,2.302778,2.004563,2.1536705,2015-04-30,0.05
EW,0.7140006,0.36131865,2.6934452,1.5832317,2.1383386,2015-04-30,0.05
KR,0.6157417,0.41371006,2.257006,1.8375185,2.0472622,2015-04-30,0.05
LUV,0.68893737,0.3277192,2.5821211,1.4201535,2.0011373,2015-04-30,0.05
BBWI,0.5580847,0.42150366,2.000909,1.8753455,1.9381273,2015-04-30,0.05
AGN-201503,0.6068251,0.35246342,2.2174006,1.540252,1.8788263,2015-04-30,0.05
ANDV-201809,0.59985125,0.35224605,2.1864247,1.539197,1.8628109,2015-04-30,0.05
COR,0.52880514,0.39065775,1.870857,1.7256318,1.7982445,2015-04-30,0.05
KRFT-201507,0.49132538,0.40984008,1.7043821,1.8187351,1.7615585,2015-04-30,0.05
ELV,0.553509,0.29298857,1.9805849,1.251585,1.6160849,2015-04-30,0.05
DLTR,0.39309505,0.41422224,1.2680694,1.8400043,1.5540369,2015-04-30,0.05
CI,0.4871632,0.31388813,1.6858947,1.353023,1.5194589,2015-04-30,0.05
HUM,0.46952748,0.3297628,1.6075616,1.4300722,1.518817,2015-04-30,0.05
LOW,0.41323692,0.35618025,1.3575342,1.5582919,1.457913,2015-04-30,0.05
UNH,0.4454754,0.32226312,1.5007287,1.3936719,1.4472003,2015-04-30,0.05
DRI,0.3495196,0.40263087,1.074519,1.7837445,1.4291317,2015-04-30,0.05
ROST,0.38245505,0.3413996,1.2208095,1.4865527,1.3536811,2015-04-30,0.05
AAPL,0.52269435,0.20214626,1.8437145,0.8106731,1.3271937,2015-04-30,0.05
HSP-201509,0.70223844,0.51741534,3.1035511,3.104143,3.103847,2015-05-29,0.05
EA,0.694353,0.48936713,3.062416,2.9103603,2.9863882,2015-05-29,0.05
MNST,0.68017644,0.4025883,2.988463,2.310814,2.6496384,2015-05-29,0.05
COR,0.5682084,0.39734846,2.4043727,2.2746124,2.3394926,2015-05-29,0.05
KRFT-201507,0.4550718,0.4318639,1.8141865,2.513076,2.1636312,2015-05-29,0.05
ANDV-201809,0.5464464,0.35040665,2.2908494,1.9502958,2.1205726,2015-05-29,0.05
VTRS,0.39192593,0.46277827,1.4847809,2.7266605,2.1057208,2015-05-29,0.05
BBWI,0.49660203,0.31994408,2.0308323,1.7398329,1.8853326,2015-05-29,0.05
KMX,0.37524062,0.38274738,1.3977406,2.1737347,1.7857376,2015-05-29,0.05
ORLY,0.38387102,0.3706825,1.4427618,2.0903795,1.7665706,2015-05-29,0.05
KR,0.46919978,0.28732106,1.8878862,1.5144435,1.7011648,2015-05-29,0.05
BSX,0.27615127,0.41137466,0.88083297,2.3715177,1.6261753,2015-05-29,0.05
EW,0.5350677,0.2149851,2.2314913,1.0146813,1.6230863,2015-05-29,0.05
CI,0.39816022,0.31831053,1.5173025,1.7285466,1.6229246,2015-05-29,0.05
SPLS-201709,0.39837494,0.31319448,1.5184227,1.6932005,1.6058116,2015-05-29,0.05
AAPL,0.50870764,0.22513665,2.0939822,1.0848174,1.5893998,2015-05-29,0.05
LUV,0.5481146,0.18599239,2.2995517,0.81437343,1.5569626,2015-05-29,0.05
DLTR,0.38141435,0.30951267,1.4299464,1.6677632,1.5488548,2015-05-29,0.05
ELV,0.4316021,0.24016613,1.6917548,1.1886545,1.4402046,2015-05-29,0.05
AET-201811,0.36841488,0.2852299,1.3621335,1.4999958,1.4310646,2015-05-29,0.05
AVGO,0.86094165,0.5469855,3.254761,3.2129498,3.2338552,2015-06-30,0.05
EA,0.7963766,0.42639816,2.9732728,2.4386795,2.705976,2015-06-30,0.05
HSP-201509,0.6578139,0.49868506,2.3691723,2.902821,2.6359968,2015-06-30,0.05
NFLX,0.6615708,0.46302238,2.3855515,2.6738372,2.5296943,2015-06-30,0.05
HUM,0.6786393,0.4391412,2.4599662,2.5205004,2.4902334,2015-06-30,0.05
BRCM-201601,0.62883264,0.3145607,2.242821,1.7205907,1.9817059,2015-06-30,0.05
CI,0.565355,0.34702075,1.9660734,1.929011,1.9475422,2015-06-30,0.05
KRFT-201507,0.42888734,0.41934186,1.3711069,2.3933723,1.8822396,2015-06-30,0.05
AET-201811,0.51223105,0.36262846,1.7344656,2.0292253,1.8818455,2015-06-30,0.05
MNST,0.6422938,0.23245767,2.3015084,1.1934215,1.7474649,2015-06-30,0.05
COR,0.5616792,0.2847794,1.9500477,1.5293702,1.7397089,2015-06-30,0.05
ALTR-201512,0.4315633,0.36608475,1.3827734,2.0514176,1.7170955,2015-06-30,0.05
ELV,0.5265698,0.28899774,1.7969791,1.5564554,1.6767173,2015-06-30,0.05
ZTS,0.50533646,0.29779077,1.7044069,1.6129138,1.6586604,2015-06-30,0.05
REGN,0.54605603,0.2637778,1.8819345,1.3945225,1.6382285,2015-06-30,0.05
VMC,0.33690724,0.3797883,0.9700955,2.1394057,1.5547507,2015-06-30,0.05
SBUX,0.4042821,0.3296366,1.2638339,1.8173904,1.5406122,2015-06-30,0.05
KR,0.4734037,0.27591625,1.5651876,1.4724615,1.5188246,2015-06-30,0.05
PLL-201508,0.40782648,0.3145378,1.2792866,1.7204436,1.499865,2015-06-30,0.05
CVC-201606,0.42432696,0.2983626,1.3512247,1.6165855,1.4839051,2015-06-30,0.05
NFLX,0.45251793,0.63945013,1.6107987,4.0890956,2.8499472,2015-07-31,0.05
CI,0.59056205,0.4542638,2.188391,2.9048874,2.5466392,2015-07-31,0.05
EA,0.6381465,0.4146046,2.38749,2.6512794,2.5193849,2015-07-31,0.05
AVGO,0.6489189,0.36230272,2.4325628,2.3168252,2.3746939,2015-07-31,0.05
HSP-201509,0.5900888,0.39704603,2.1864107,2.5389977,2.3627043,2015-07-31,0.05
AET-201811,0.5076783,0.38425732,1.8415959,2.457218,2.149407,2015-07-31,0.05
HUM,0.43905988,0.33169907,1.5544888,2.1211245,1.8378067,2015-07-31,0.05
KRFT-201507,0.39231285,0.36188748,1.3588939,2.31417,1.8365319,2015-07-31,0.05
ALTR-201512,0.45531276,0.31761342,1.6224927,2.0310512,1.826772,2015-07-31,0.05
MNST,0.6583904,0.17815174,2.4721928,1.1392375,1.8057151,2015-07-31,0.05
SEE,0.4611305,0.27093032,1.6468347,1.7325274,1.689681,2015-07-31,0.05
ELV,0.43455282,0.26090887,1.5356307,1.6684434,1.6020371,2015-07-31,0.05
SBUX,0.3955357,0.28475776,1.3723786,1.8209496,1.5966641,2015-07-31,0.05
REGN,0.5079481,0.20371595,1.8427249,1.3027126,1.5727187,2015-07-31,0.05
BSX,0.32177848,0.3186656,1.0637699,2.0377796,1.5507748,2015-07-31,0.05
PLL-201508,0.39761922,0.26458898,1.3810962,1.6919765,1.5365365,2015-07-31,0.05
ETFC-202010,0.38546616,0.27233034,1.3302464,1.7414801,1.5358633,2015-07-31,0.05
UNH,0.44689226,0.22397566,1.5872602,1.4322671,1.5097637,2015-07-31,0.05
BRCM-201601,0.4917722,0.18328646,1.7750431,1.1720724,1.4735577,2015-07-31,0.05
EXPE,0.40769705,0.23094796,1.4232631,1.4768527,1.4500579,2015-07-31,0.05
NFLX,0.59668773,0.8511555,1.8733515,4.6088862,3.241119,2015-08-31,0.05
AMZN,0.50126624,0.54671335,1.547623,2.9550433,2.2513332,2015-08-31,0.05
EA,0.6904954,0.41992995,2.1935709,2.2663088,2.22994,2015-08-31,0.05
MNST,0.770924,0.34865952,2.4681199,1.8791412,2.1736305,2015-08-31,0.05
HSP-201509,0.55462533,0.37871584,1.7297683,2.0424185,1.8860934,2015-08-31,0.05
REGN,0.6729783,0.29978395,2.133775,1.613631,1.873703,2015-08-31,0.05
UAA,0.5126394,0.38041162,1.5864462,2.0516305,1.8190384,2015-08-31,0.05
HAS,0.43086883,0.3789425,1.3073162,2.0436497,1.675483,2015-08-31,0.05
CVC-201606,0.5011904,0.32844567,1.5473642,1.7693322,1.6583482,2015-08-31,0.05
EXPE,0.44071898,0.35610867,1.3409404,1.9196078,1.630274,2015-08-31,0.05
CI,0.44909543,0.336703,1.369534,1.8141891,1.5918615,2015-08-31,0.05
SBUX,0.4179557,0.35187393,1.2632363,1.8966032,1.5799198,2015-08-31,0.05
ANDV-201809,0.5243078,0.27894807,1.6262771,1.5004427,1.56336,2015-08-31,0.05
AVGO,0.56481296,0.22414912,1.7645445,1.2027546,1.4836495,2015-08-31,0.05
DRI,0.51485753,0.25505975,1.594018,1.3706726,1.4823453,2015-08-31,0.05
TSS-201909,0.39757234,0.3132707,1.1936561,1.686896,1.440276,2015-08-31,0.05
VMC,0.36027056,0.3278516,1.0663236,1.7661049,1.4162142,2015-08-31,0.05
KRFT-201507,0.38410577,0.31274888,1.147687,1.6840613,1.4158741,2015-08-31,0.05
RAI-201707,0.39186633,0.30725062,1.1741782,1.6541928,1.4141855,2015-08-31,0.05
ALTR-201512,0.37674484,0.3053145,1.1225599,1.6436751,1.3831174,2015-08-31,0.05
NFLX,0.6443941,0.6002468,2.2268126,3.516406,2.8716092,2015-09-30,0.05
AMZN,0.49389043,0.36926863,1.6928099,2.2135274,1.9531686,2015-09-30,0.05
ALTR-201512,0.4182107,0.4013623,1.4242903,2.3945584,1.9094243,2015-09-30,0.05
MNST,0.7723236,0.16883498,2.6807199,1.0829414,1.8818307,2015-09-30,0.05
HSP-201509,0.48363388,0.3495393,1.6564186,2.1022403,1.8793294,2015-09-30,0.05
MLM,0.3147214,0.45091003,1.0570996,2.6740422,1.8655709,2015-09-30,0.05
EA,0.6773989,0.18714046,2.3439171,1.1861972,1.7650571,2015-09-30,0.05
AVGO,0.6094629,0.20824942,2.102873,1.3052664,1.7040697,2015-09-30,0.05
PLL-201508,0.4998633,0.27379164,1.7140023,1.6749705,1.6944864,2015-09-30,0.05
HAS,0.42841712,0.3183313,1.4605038,1.9262054,1.6933546,2015-09-30,0.05
CI,0.44734332,0.27635854,1.527656,1.6894495,1.6085527,2015-09-30,0.05
SEE,0.4834416,0.24475312,1.6557363,1.5111729,1.5834546,2015-09-30,0.05
ORLY,0.47029534,0.24789882,1.609092,1.5289168,1.5690044,2015-09-30,0.05
VMC,0.39927977,0.28688866,1.3571215,1.7488468,1.5529841,2015-09-30,0.05
EXPE,0.38001657,0.2970958,1.2887735,1.8064222,1.5475979,2015-09-30,0.05
REGN,0.48481187,0.20897946,1.6605983,1.3093843,1.4849913,2015-09-30,0.05
RAI-201707,0.4452915,0.22750516,1.5203758,1.4138823,1.467129,2015-09-30,0.05
UAA,0.35848606,0.2816638,1.2123811,1.719375,1.465878,2015-09-30,0.05
HUM,0.44775605,0.22478724,1.5291203,1.3985512,1.4638357,2015-09-30,0.05
CVC-201606,0.3075058,0.3069879,1.0314978,1.8622206,1.4468592,2015-09-30,0.05
CVC-201606,0.59143215,0.5690788,2.0726607,3.3965142,2.7345874,2015-10-30,0.05
NFLX,0.4143039,0.42003587,1.5111884,2.656213,2.0837007,2015-10-30,0.05
TE-201606,0.41658574,0.313384,1.5184214,2.1264696,1.8224455,2015-10-30,0.05
AMZN,0.41199183,0.29751763,1.5038594,2.0476608,1.7757602,2015-10-30,0.05
ALTR-201512,0.36671147,0.3101069,1.3603268,2.110192,1.7352594,2015-10-30,0.05
EA,0.5824577,0.16962029,2.044213,1.4123906,1.7283018,2015-10-30,0.05
NKE,0.45923126,0.24125196,1.6536019,1.7681874,1.7108946,2015-10-30,0.05
ORLY,0.47173315,0.18329808,1.6932311,1.4803286,1.5867798,2015-10-30,0.05
RAI-201707,0.46371093,0.18482022,1.6678019,1.487889,1.5778455,2015-10-30,0.05
EXPE,0.32264143,0.25468537,1.2206308,1.8349116,1.5277712,2015-10-30,0.05
SBUX,0.3928132,0.20151678,1.4430658,1.5708214,1.5069436,2015-10-30,0.05
UAA,0.34765252,0.22850518,1.2999126,1.7048738,1.5023932,2015-10-30,0.05
TSS-201909,0.38088548,0.18052223,1.4052565,1.4665408,1.4358987,2015-10-30,0.05
CB-201601,0.3148261,0.2159934,1.1958573,1.6427273,1.4192922,2015-10-30,0.05
LLY,0.3023958,0.18909377,1.1564549,1.5091159,1.3327854,2015-10-30,0.05
AIZ,0.18563496,0.26284924,0.78633887,1.8754618,1.3309003,2015-10-30,0.05
HAS,0.34228083,0.15860905,1.2828851,1.3576974,1.3202913,2015-10-30,0.05
HSP-201509,0.5153186,0.027380394,1.831391,0.7058803,1.2686356,2015-10-30,0.05
GAS-201606,0.17502989,0.23844826,0.75272226,1.7542613,1.2534918,2015-10-30,0.05
DRI,0.40701944,0.08452735,1.4880975,0.9897311,1.2389143,2015-10-30,0.05
CVC-201606,0.6506601,0.5901582,2.0909142,3.2016258,2.64627,2015-11-30,0.05
AMZN,0.66327375,0.520028,2.1334307,2.8430767,2.4882536,2015-11-30,0.05
NFLX,0.51968837,0.59921205,1.6494527,3.2479146,2.4486837,2015-11-30,0.05
RAI-201707,0.53079695,0.35616788,1.686896,2.0053227,1.8461094,2015-11-30,0.05
TSS-201909,0.53744626,0.32291067,1.7093085,1.8352913,1.7722999,2015-11-30,0.05
TE-201606,0.48496765,0.35296,1.5324208,1.988922,1.7606714,2015-11-30,0.05
EXPE,0.44970536,0.37399364,1.4135635,2.096459,1.7550112,2015-11-30,0.05
EA,0.7050114,0.20324099,2.2741144,1.2234659,1.7487901,2015-11-30,0.05
ORLY,0.60831,0.24495351,1.9481664,1.4367261,1.6924462,2015-11-30,0.05
SBUX,0.519526,0.2846494,1.6489054,1.639676,1.6442907,2015-11-30,0.05
NVDA,0.44710585,0.31315947,1.4048014,1.7854371,1.5951192,2015-11-30,0.05
JNPR-202507,0.3647995,0.33690155,1.1273744,1.9068213,1.5170978,2015-11-30,0.05
ANDV-201809,0.58066577,0.16858648,1.854987,1.0462906,1.4506388,2015-11-30,0.05
NKE,0.39557147,0.27222037,1.2310964,1.5761311,1.4036138,2015-11-30,0.05
CB-201601,0.37204468,0.2569388,1.1517955,1.4980022,1.3248988,2015-11-30,0.05
REGN,0.43571782,0.21073416,1.3664162,1.2617756,1.314096,2015-11-30,0.05
AVY,0.40094775,0.21755806,1.249218,1.2966636,1.2729409,2015-11-30,0.05
ALTR-201512,0.40248126,0.21033345,1.2543869,1.2597269,1.257057,2015-11-30,0.05
MDLZ,0.31389272,0.25373587,0.95578474,1.481627,1.2187059,2015-11-30,0.05
AIZ,0.25442618,0.29196346,0.755343,1.67707,1.2162066,2015-11-30,0.05
AMZN,0.7776676,0.45500243,2.6940496,2.2237623,2.458906,2015-12-31,0.05
NFLX,0.78755057,0.43910754,2.7285028,2.151704,2.4401035,2015-12-31,0.05
CVC-201606,0.52291715,0.43604863,1.8059646,2.1378367,1.9719007,2015-12-31,0.05
NVDA,0.50511175,0.3696421,1.7438931,1.8367885,1.7903409,2015-12-31,0.05
TSS-201909,0.5147541,0.35139483,1.7775074,1.7540661,1.7657868,2015-12-31,0.05
ANDV-201809,0.5012464,0.3087317,1.7304181,1.5606564,1.6455373,2015-12-31,0.05
VRSN,0.40323138,0.3423706,1.3887281,1.7131555,1.5509418,2015-12-31,0.05
TE-201606,0.34714293,0.35932386,1.1931982,1.7900116,1.4916049,2015-12-31,0.05
SBUX,0.5023954,0.2228223,1.7344236,1.1711935,1.4528086,2015-12-31,0.05
MAS,0.44767404,0.2580239,1.5436596,1.3307769,1.4372182,2015-12-31,0.05
HRL,0.34660867,0.32917786,1.1913358,1.6533473,1.4223416,2015-12-31,0.05
ALTR-201512,0.45085177,0.24758251,1.5547374,1.2834418,1.4190896,2015-12-31,0.05
VMC,0.51430297,0.1858843,1.7759347,1.0037383,1.3898365,2015-12-31,0.05
NKE,0.3636703,0.29667744,1.2508142,1.5060095,1.3784118,2015-12-31,0.05
RAI-201707,0.42284513,0.25062448,1.4571035,1.2972323,1.3771679,2015-12-31,0.05
EXPE,0.38059685,0.27311215,1.3098218,1.3991783,1.3545,2015-12-31,0.05
VLO,0.39392674,0.25356504,1.3562912,1.3105631,1.3334272,2015-12-31,0.05
GOOGL,0.29516882,0.32938185,1.0120114,1.6542721,1.3331418,2015-12-31,0.05
GOOG,0.2866068,0.3235264,0.9821633,1.6277269,1.3049451,2015-12-31,0.05
EA,0.5035746,0.15442118,1.7385345,0.86110294,1.2998188,2015-12-31,0.05
AMZN,0.6910928,0.4540374,2.5065513,2.3070216,2.4067864,2016-01-29,0.05
NFLX,0.8372947,0.24919069,3.003269,1.4056898,2.2044795,2016-01-29,0.05
NVDA,0.46860677,0.40632784,1.75066,2.097098,1.923879,2016-01-29,0.05
HRL,0.4161635,0.331758,1.572485,1.7689886,1.6707368,2016-01-29,0.05
CVC-201606,0.47255516,0.26943392,1.7640744,1.4947606,1.6294175,2016-01-29,0.05
TE-201606,0.33727336,0.36496338,1.3044575,1.9150933,1.6097754,2016-01-29,0.05
GOOGL,0.34849516,0.35536653,1.3425833,1.8728666,1.6077249,2016-01-29,0.05
GOOG,0.3396331,0.35499337,1.3124747,1.8712249,1.5918498,2016-01-29,0.05
VRSN,0.3740276,0.32389137,1.4293293,1.7343752,1.5818522,2016-01-29,0.05
RCL,0.3360732,0.29452187,1.30038,1.6051483,1.4527642,2016-01-29,0.05
CB-201601,0.2780271,0.32265496,1.1031697,1.7289348,1.4160522,2016-01-29,0.05
TSS-201909,0.4239159,0.19597629,1.5988235,1.171545,1.3851843,2016-01-29,0.05
PSA,0.31760713,0.2714647,1.2376419,1.5036962,1.3706691,2016-01-29,0.05
FSLR,0.30177283,0.28329694,1.1838453,1.5557584,1.3698018,2016-01-29,0.05
META,0.29786164,0.27886683,1.170557,1.5362657,1.3534114,2016-01-29,0.05
RAI-201707,0.3820532,0.21042494,1.456596,1.2351195,1.3458577,2016-01-29,0.05
STZ,0.3979193,0.19399852,1.5105007,1.1628426,1.3366716,2016-01-29,0.05
VLO,0.40221626,0.1903382,1.5250995,1.1467371,1.3359183,2016-01-29,0.05
ARG-201605,0.2053287,0.32170156,0.8561785,1.7247399,1.2904592,2016-01-29,0.05
SBUX,0.40375945,0.15035637,1.5303425,0.9708159,1.2505791,2016-01-29,0.05
AMZN,0.63732415,0.3017729,2.4540596,1.663633,2.0588462,2016-02-29,0.05
HRL,0.4551813,0.36710694,1.8580896,1.9277732,1.8929315,2016-02-29,0.05
FSLR,0.43154493,0.37944466,1.7807517,1.9776536,1.8792026,2016-02-29,0.05
TE-201606,0.32201472,0.4476565,1.4223697,2.2534285,1.8378991,2016-02-29,0.05
NVDA,0.39542198,0.38399625,1.6625576,1.9960554,1.8293065,2016-02-29,0.05
RAI-201707,0.47612122,0.3078285,1.926605,1.6881154,1.8073602,2016-02-29,0.05
CVC-201606,0.4572433,0.29327783,1.8648366,1.6292882,1.7470624,2016-02-29,0.05
STZ,0.44783744,0.27810055,1.8340607,1.5679277,1.7009943,2016-02-29,0.05
GOOG,0.34730917,0.35581958,1.505133,1.8821393,1.6936362,2016-02-29,0.05
GOOGL,0.3609716,0.3434499,1.5498363,1.8321297,1.690983,2016-02-29,0.05
PSA,0.3483473,0.33426526,1.5085298,1.794997,1.6517634,2016-02-29,0.05
META,0.36340675,0.26876104,1.5578041,1.5301688,1.5439864,2016-02-29,0.05
CB-201601,0.26901743,0.34133878,1.248963,1.8235947,1.5362788,2016-02-29,0.05
MCD,0.31229493,0.28047407,1.3905667,1.5775236,1.4840451,2016-02-29,0.05
KDP,0.29377362,0.2641287,1.3299651,1.5114408,1.4207029,2016-02-29,0.05
NFLX,0.6322893,-0.02163367,2.4375854,0.35612676,1.3968561,2016-02-29,0.05
GAS-201606,0.19220625,0.32999036,0.99763745,1.7777139,1.3876756,2016-02-29,0.05
NDAQ,0.2740523,0.2484597,1.2654371,1.4480921,1.3567646,2016-02-29,0.05
TSN,0.29606837,0.22988133,1.3374735,1.3729814,1.3552275,2016-02-29,0.05
RTN-202004,0.20040502,0.30452546,1.0244638,1.6747614,1.3496126,2016-02-29,0.05
FSLR,0.5295991,0.48387414,2.1171656,2.6840634,2.4006145,2016-03-31,0.05
NVDA,0.51040417,0.46390808,2.0496578,2.5933604,2.3215091,2016-03-31,0.05
TSN,0.5183394,0.3860578,2.0775657,2.2396975,2.1586316,2016-03-31,0.05
HRL,0.52301013,0.3693714,2.0939925,2.1638937,2.128943,2016-03-31,0.05
MAT,0.26364574,0.3826151,1.1818167,2.2240577,1.7029371,2016-03-31,0.05
CVC-201606,0.56349784,0.14804086,2.2363865,1.1584202,1.6974034,2016-03-31,0.05
CAM-201604,0.3812042,0.26178485,1.5952659,1.6751431,1.6352046,2016-03-31,0.05
ARG-201605,0.24956894,0.3379985,1.1323091,2.021371,1.5768399,2016-03-31,0.05
VRSN,0.43879938,0.17479865,1.7978262,1.279977,1.5389016,2016-03-31,0.05
RAI-201707,0.4300057,0.17843428,1.766899,1.2964932,1.5316961,2016-03-31,0.05
NDAQ,0.34510484,0.22457424,1.4683056,1.5061005,1.4872031,2016-03-31,0.05
CPB,0.32561564,0.23711003,1.3997627,1.5630488,1.4814057,2016-03-31,0.05
TE-201606,0.30310217,0.24374145,1.3205836,1.5931745,1.456879,2016-03-31,0.05
GAS-201606,0.18371657,0.32310656,0.90070844,1.9537189,1.4272137,2016-03-31,0.05
NEM,0.031646863,0.4112574,0.36588436,2.3541758,1.36003,2016-03-31,0.05
NI,0.27001914,0.22252814,1.2042317,1.4968053,1.3505185,2016-03-31,0.05
PSA,0.24920194,0.21114051,1.1310183,1.445073,1.2880456,2016-03-31,0.05
MCD,0.27867132,0.18415636,1.2346611,1.3224878,1.2785745,2016-03-31,0.05
META,0.34253216,0.12867957,1.4592576,1.0704646,1.2648611,2016-03-31,0.05
EW,0.32794556,0.13412277,1.407957,1.0951922,1.2515745,2016-03-31,0.05
NVDA,0.49562052,0.46798876,2.1240005,2.3149416,2.219471,2016-04-29,0.05
TSN,0.4884803,0.46056303,2.0962403,2.2760048,2.1861224,2016-04-29,0.05
CVC-201606,0.5852698,0.2708548,2.4725475,1.2812701,1.8769088,2016-04-29,0.05
HRL,0.40696934,0.35497674,1.7793341,1.7223634,1.7508488,2016-04-29,0.05
NI,0.3647175,0.35408515,1.6150634,1.7176883,1.6663759,2016-04-29,0.05
MAT,0.3048525,0.38947454,1.3823144,1.9032525,1.6427834,2016-04-29,0.05
